source_id,plx,g,b,r,teff
3453533763348196992,5.702044985321171,9.156274,9.382009,8.771941,6522.6924
3453648627953535744,4.833162640117559,9.140968,9.343105,8.78823,6820.872
3453690993510788480,9.27625447866148,8.657135,8.906161,8.247132,6272.612
3454062903318992256,5.994599637881396,9.555924,9.7805605,9.160068,6414.848
3454064410851353728,11.933128606618121,8.46658,8.777162,7.9886436,5774.4053
3454116534572655104,9.524586674110495,8.205209,8.411729,7.8408723,6475.426
3454494599073051136,3.8865479928669524,7.257483,7.732166,6.6123424,5639.152
3454549089320508032,1.1468278417206899,9.384397,9.445531,9.233783,7762.8013
3455461340372555648,7.55654805635131,8.901835,9.136421,8.50271,6344.2817
3455463401956839808,12.63608232984303,8.991092,9.291254,8.518324,5981.7437
3455567000866355072,5.35991588316923,9.083447,9.2781515,8.738834,6777.685
3455607751515871744,18.511117601413797,9.322654,9.735384,8.739779,5140.834
3455834010393153152,0.5307917674041602,8.878827,8.947246,8.708186,15832.681
3455900217310709760,4.0609820130922305,9.2396,9.3626175,8.970533,7591.9976
3455960282432057984,7.259557476664559,8.1563635,8.419058,7.725242,6045.499
3455968116452457216,4.0708680750245465,9.67081,9.909893,9.264136,6482.6533
3456473582563251584,3.6820957956369065,9.201884,9.265498,9.061951,9851.235
3456709427807679232,6.9911639637480825,9.102893,9.34056,8.705605,6347.01
3456791272704200704,1.1607018356496739,8.5074215,9.026657,7.828027,5251.9023
3456884456314911488,7.418063015269366,9.408452,9.643365,9.015394,6300.6807
3457123737533324800,4.535986267349128,7.1480184,7.1960034,6.932339,10285.878
3457234032293344128,4.541410438423569,9.943196,10.153736,9.584978,6575.7783
3457402498089891072,2.551588316402567,6.911551,6.891557,6.90058,9999.544
3457510799985404800,12.790665126197904,8.596334,8.871176,8.155791,5996.763
3457532373603470336,8.091892919515205,9.222042,9.495671,8.782664,6013.986
3458015029145941504,5.674140917085168,6.8873944,7.4639325,6.1676607,4603.709
3458133123566924416,17.99893503539142,8.622472,8.970482,8.104289,5563.242
3458313821429651200,6.713015260117217,8.977536,9.199192,8.60233,6441.261
